Class	Grade	Year
Business Math	3	1982
Business Math	1.3	1982
Business Math	3	1982
Analytics	0.7	1982
Business Math	3.2	1982
Statistics	3.1	1982
Statistics	1.9	1982
Business Math	3	1982
Statistics	2.2	1982
Statistics	2.6	1982
Statistics	3.9	1982
Statistics	2.7	1982
Statistics	3.1	1982
Statistics	2.1	1982
Statistics	2.6	1982
Business Math	2.8	1982
Analytics	0.6	1982
Business Math	3	1982
Business Math	1.5	1982
Business Math	1.5	1982
Business Math	2.4	1982
Statistics	2.2	1982
Statistics	1.2	1982
Analytics	3.2	1982
Business Math	1.6	1982
Business Math	3.1	1982
Business Math	3.5	1982
Business Math	2.8	1982
Business Math	2.1	1982
Statistics	2.6	1982
Business Math	1.6	1982
Business Math	3.2	1982
Business Math	1.7	1982
Statistics	3	1982
Analytics	2	1982
Statistics	3.1	1982
Statistics	0.6	1982
Business Math	1.4	1982
Business Math	3.4	1982
Statistics	0.3	1982
Business Math	1.8	1982
Statistics	2.2	1982
Analytics	3.6	1982
Statistics	2	1982
Business Math	1.6	1982
Analytics	2.1	1982
Business Math	1.6	1982
Analytics	2.4	1982
Statistics	2.6	1982
Statistics	2.9	1982
Statistics	0.1	1982
Business Math	2.8	1982
Statistics	1.8	1982
Statistics	4	1982
Business Math	2.3	1982
Analytics	3.2	1982
Business Math	1.1	1982
Analytics	3.3	1982
Business Math	2.9	1982
Statistics	2.1	1982
Statistics	3.9	1982
Business Math	1.7	1982
Statistics	2.7	1982
Statistics	3	1982
Analytics	2.1	1982
Business Math	3.2	1982
Analytics	3	1982
Business Math	2.4	1982
Statistics	2.5	1982
Statistics	2.1	1982
Business Math	2.4	1982
Statistics	2.8	1982
Statistics	2.8	1982
Business Math	2.9	1982
Business Math	3.1	1982
Business Math	1.6	1982
Statistics	3.9	1982
Analytics	3.5	1982
Statistics	2.2	1982
Business Math	2.2	1982
Statistics	1.8	1982
Statistics	3.2	1982
Analytics	3.7	1982
Business Math	2.9	1982
Statistics	0.5	1982
Statistics	2.7	1982
Business Math	2	1982
Statistics	2	1982
Business Math	0.7	1982
Statistics	2.5	1982
Statistics	1.9	1982
Analytics	3.1	1982
Analytics	3.3	1982
Statistics	2.8	1982
Business Math	2.4	1982
Business Math	2.2	1982
Statistics	2	1982
Business Math	1.6	1982
Statistics	2.4	1982
Business Math	0.1	1982
Statistics	1.8	1982
Statistics	2.1	1982
Analytics	3.7	1982
Business Math	2.1	1982
Business Math	1.6	1982
Analytics	3.1	1982
Business Math	3.1	1982
Business Math	2.1	1982
Statistics	3	1982
Statistics	2.7	1982
Business Math	1.6	1982
Analytics	3	1982
Statistics	2.6	1982
Business Math	3.2	1982
Statistics	0.6	1982
Analytics	2.5	1982
Statistics	0.5	1982
Statistics	1.9	1982
Business Math	1.9	1982
Statistics	1.8	1982
Business Math	1.8	1982
Statistics	3	1982
Statistics	2.1	1982
Analytics	3.3	1982
Business Math	2	1982
Business Math	3	1982
Analytics	3.5	1982
Statistics	2.8	1982
Statistics	1.2	1982
Analytics	3.1	1982
Statistics	2.7	1982
Statistics	1.6	1982
Statistics	2	1982
Business Math	2.6	1982
Business Math	2.3	1982
Analytics	3.1	1982
Analytics	3.4	1982
Business Math	1	1982
Business Math	0.7	1982
Analytics	3.2	1982
Analytics	3.9	1982
Analytics	3.5	1982
Statistics	2.7	1982
Statistics	2.8	1982
Business Math	3	1982
Analytics	2.5	1982
Statistics	0.7	1982
Statistics	0.1	1982
Statistics	2.3	1982
Business Math	2.2	1982
Statistics	2.4	1982
Statistics	2.6	1982
Statistics	2.9	1982
Statistics	3	1982
Statistics	2.2	1982
Business Math	1.6	1982
Business Math	1.9	1982
Business Math	2	1982
Business Math	3	1982
Business Math	0.4	1983
Analytics	3.2	1983
Statistics	3	1983
Statistics	2.8	1983
Business Math	2.1	1983
Business Math	2.8	1983
Statistics	2.8	1983
Business Math	2.7	1983
Statistics	2.3	1983
Statistics	3	1983
Statistics	2.1	1983
Business Math	0.1	1983
Business Math	0.1	1983
Business Math	2.2	1983
Analytics	0.2	1983
Statistics	1.2	1983
Statistics	2.4	1983
Statistics	2.6	1983
Analytics	4	1983
Business Math	3.4	1983
Statistics	2.8	1983
Business Math	1.6	1983
Analytics	3.3	1983
Business Math	1.8	1983
Statistics	0.5	1983
Statistics	0	1983
Business Math	2	1983
Statistics	4	1983
Statistics	3	1983
Business Math	3	1983
Statistics	0.2	1983
Business Math	1.1	1983
Analytics	0.8	1983
Business Math	3.1	1983
Analytics	3.1	1983
Business Math	1	1983
Business Math	3.1	1983
Analytics	3.2	1983
Business Math	3	1983
Statistics	2.9	1983
Business Math	2.3	1983
Business Math	3.1	1983
Statistics	2.5	1983
Statistics	0.4	1983
Business Math	2.1	1983
Business Math	3.1	1983
Business Math	2.3	1983
Business Math	3	1983
Statistics	0.9	1983
Statistics	0.3	1983
Statistics	2.8	1983
Business Math	3.2	1983
Statistics	2.9	1983
Business Math	2.4	1983
Statistics	2.3	1983
Analytics	3.2	1983
Business Math	2.4	1983
Statistics	0.1	1983
Statistics	3.8	1983
Analytics	1	1983
Business Math	1.6	1983
Business Math	2.6	1983
Business Math	1.5	1983
Analytics	3.1	1983
Analytics	3.1	1983
Business Math	0.5	1983
Statistics	1.4	1983
Business Math	1	1983
Analytics	1.1	1983
Business Math	2.3	1983
Statistics	2.8	1983
Business Math	2.9	1983
Business Math	3.3	1983
Business Math	2.1	1983
Statistics	2.6	1983
Business Math	3.2	1983
Business Math	1.4	1983
Business Math	3.2	1983
Business Math	2.2	1983
Statistics	2.8	1983
Business Math	3	1983
Analytics	3.2	1983
Analytics	3.1	1983
Analytics	3.2	1983
Statistics	1.4	1983
Statistics	3.5	1983
Analytics	4	1983
Business Math	1.7	1983
Analytics	3.3	1983
Statistics	1.3	1983
Statistics	3	1983
Business Math	1.2	1983
Analytics	3.1	1983
Analytics	1.3	1983
Business Math	1.7	1983
Statistics	3	1983
Business Math	3	1983
Statistics	2.7	1983
Analytics	3.2	1983
Statistics	0.7	1983
Statistics	2.5	1983
Statistics	2.3	1983
Business Math	1.5	1983
Business Math	2	1983
Business Math	3	1983
Analytics	3.2	1983
Statistics	1.3	1983
Analytics	3.2	1983
Statistics	2.4	1983
Business Math	1.2	1983
Statistics	3.5	1983
Analytics	3.1	1983
Statistics	1.9	1983
Analytics	3.2	1983
Statistics	3	1983
Business Math	0.3	1983
Statistics	2.3	1983
Business Math	1.9	1983
Business Math	1.9	1983
Statistics	2.4	1983
Analytics	3.8	1983
Business Math	2.9	1983
Statistics	0.2	1983
Statistics	1.7	1983
Business Math	2.9	1983
Statistics	2.6	1983
Statistics	2.5	1983
Statistics	3.1	1983
Business Math	2.9	1983
Business Math	3	1983
Analytics	3.1	1983
Statistics	1.2	1983
Analytics	3.1	1983
Statistics	2.4	1983
Business Math	3	1983
Statistics	2.8	1983
Statistics	1.5	1983
Business Math	1.6	1983
Business Math	1.9	1983
Statistics	2.8	1983
Analytics	2.5	1983
Analytics	3.1	1983
Statistics	1.7	1983
Business Math	3	1983
Statistics	2.3	1983
Analytics	3.1	1983
Analytics	2.5	1983
Statistics	2.6	1983
Business Math	1.8	1983
Statistics	3.1	1983
Analytics	3.3	1983
Business Math	1.4	1983
Business Math	2.8	1983
Business Math	2.3	1983
Business Math	2.4	1983
Statistics	2.1	1983
Business Math	1.3	1983
Business Math	2.2	1983
Business Math	1.4	1983
Statistics	2.1	1983
Business Math	2	1983
Statistics	1.5	1983
Business Math	2.4	1983
Analytics	3.3	1983
Business Math	2	1983
Analytics	3.3	1983
Statistics	2.5	1983
Statistics	2.6	1983
Business Math	2.2	1983
Analytics	3.2	1983
Business Math	3.2	1983
Statistics	0.5	1983
Statistics	0	1983
Statistics	1.8	1983
Statistics	2.9	1983
Business Math	2.3	1983
Business Math	3.1	1983
Analytics	0.2	1983
Statistics	2.8	1983
Analytics	3.2	1983
Business Math	2.5	1983
Business Math	3	1983
Analytics	3.2	1983
Business Math	1.6	1983
Statistics	3.4	1983
Business Math	1.7	1983
Business Math	2.7	1983
Business Math	3	1983
Business Math	2.8	1983
Business Math	2.5	1983
Statistics	3.8	1983
Statistics	1.9	1983
Statistics	2.6	1983
Statistics	2.6	1983
Analytics	0.9	1983
Business Math	2.9	1983
Business Math	2.2	1983
Business Math	3	1983
Statistics	2.7	1983
Statistics	2.8	1983
Analytics	3.3	1983
Statistics	2.9	1983
Statistics	2.6	1983
Analytics	0.3	1983
Business Math	1.4	1983
Analytics	2.5	1983
Statistics	2.8	1983
Business Math	3	1983
Statistics	0.7	1983
Analytics	2.9	1983
Statistics	2.7	1983
Statistics	2	1983
Business Math	1.2	1983
Statistics	2.9	1983
Analytics	3.2	1983
Analytics	0.4	1983
Business Math	1.8	1983
Business Math	2.7	1983
Statistics	0.2	1983
Statistics	3.1	1983
Statistics	2.8	1983
Business Math	2.2	1983
Analytics	1.1	1983
Analytics	3.2	1983
Business Math	1.1	1983
Statistics	2.6	1983
Business Math	3	1983
Statistics	1.3	1983
Statistics	2.8	1983
Business Math	3.4	1983
Statistics	0.5	1983
Analytics	3	1983
Business Math	2	1983
Statistics	1.2	1983
Statistics	1.3	1983
Business Math	3	1983
Statistics	3	1983
Statistics	2.3	1983
Statistics	2.7	1983
Business Math	3	1983
Business Math	1	1983
Statistics	1.3	1983
Statistics	1.1	1983
Analytics	3.1	1983
Analytics	3.2	1983
Business Math	1.8	1983
Statistics	2.1	1983
Statistics	2.9	1983
Statistics	1.8	1983
Statistics	1	1983
Statistics	1.5	1983
Business Math	2.5	1983
Business Math	3.6	1983
Business Math	2.7	1983
Statistics	2.8	1983
Business Math	3.1	1983
Statistics	3.7	1983
Statistics	3.5	1983
Business Math	3.3	1983
Statistics	2.6	1983
Statistics	2.3	1983
Business Math	2.5	1983
Statistics	2	1983
Business Math	2	1983
Analytics	3.2	1983
Statistics	2.8	1983
Statistics	0.5	1983
Statistics	1.5	1983
Statistics	2.8	1983
Analytics	0.8	1983
Statistics	1.7	1983
Statistics	4	1983
Statistics	0.6	1983
Statistics	2.9	1983
Statistics	1.1	1983
Business Math	3.1	1983
Statistics	0.9	1983
Business Math	2.5	1983
Analytics	3.1	1983
Business Math	1.8	1983
Analytics	3.1	1983
Business Math	1.1	1983
Analytics	1.2	1983
Statistics	2.7	1983
Statistics	1.4	1983
Analytics	3.7	1983
Business Math	2.2	1983
Statistics	1	1983
Statistics	2.7	1983
Business Math	0.7	1983
Statistics	2.1	1983
Statistics	1.4	1983
Analytics	3.4	1983
Statistics	2.5	1983
Statistics	2.2	1983
Business Math	3	1983
Analytics	3	1983
Analytics	3.6	1983
Statistics	2.1	1983
Business Math	0.9	1983
Analytics	1.2	1983
Analytics	3.3	1983
Business Math	2.4	1983
Business Math	1.3	1983
Business Math	3.5	1983
Analytics	3.3	1983
Business Math	2.9	1983
Analytics	3	1983
Statistics	2.9	1983
Business Math	0.4	1983
Business Math	1.2	1983
Analytics	3.5	1983
Statistics	1.1	1983
Business Math	3.8	1983
Statistics	2.6	1983
Statistics	1.4	1983
Analytics	1.8	1983
Statistics	3.1	1983
Analytics	0.4	1983
Statistics	2.7	1983
Business Math	2.1	1983
Business Math	3.9	1983
Business Math	3	1983
Statistics	3	1983
Business Math	3.2	1983
Business Math	1.7	1983
Business Math	1.1	1983
Business Math	3.4	1983
Statistics	2.5	1983
Business Math	2.5	1983
Statistics	2.2	1983
Business Math	2.2	1983
Business Math	3.3	1983
Business Math	1.5	1983
Statistics	2.8	1983
Business Math	2	1983
Business Math	3.1	1983
Analytics	0.1	1983
Business Math	3.1	1983
Analytics	3.1	1983
Analytics	3.2	1983
Statistics	0.9	1983
Statistics	2.5	1983
Statistics	2	1983
Analytics	1.1	1983
Statistics	2.9	1983
Business Math	3	1983
Business Math	2	1983
Business Math	0.7	1983
Business Math	3.6	1983
Statistics	1.9	1983
Business Math	2.5	1983
Analytics	1.5	1983
Analytics	1.4	1983
Business Math	3.9	1983
Statistics	0.9	1983
Statistics	1.9	1983
Business Math	1.7	1983
Statistics	2.9	1983
Business Math	3.1	1983
Business Math	2	1983
Analytics	3	1983
Business Math	1.5	1983
Business Math	3	1983
Statistics	2.5	1983
Analytics	2.5	1983
Statistics	1.3	1983
Business Math	2.9	1983
Business Math	2	1983
Statistics	1	1983
Analytics	3.1	1983
Business Math	3	1983
Business Math	3.2	1983
Statistics	3	1983
Analytics	3.3	1983
Business Math	2.7	1983
Business Math	2.9	1983
Statistics	3.5	1983
Statistics	2	1983
Statistics	2	1983
Analytics	3.3	1983
Analytics	3.3	1983
Business Math	0.4	1983
Business Math	2.4	1983
Analytics	3.1	1983
Statistics	2.4	1983
Statistics	0.1	1983
Business Math	1	1983
Statistics	0.6	1983
Statistics	3	1983
Business Math	0.8	1983
Business Math	3	1983
Statistics	0.9	1983
Statistics	2.6	1983
Business Math	3.5	1983
Statistics	2.4	1983
Analytics	3.1	1983
Analytics	3.7	1983
Statistics	2.8	1983
Statistics	3	1983
Statistics	0.2	1983
Analytics	3.3	1983
Analytics	3.3	1983
Analytics	3.1	1983
Analytics	2	1983
Analytics	3.1	1983
Business Math	1.4	1983
Statistics	2.9	1983
Business Math	1.7	1983
Business Math	2.9	1983
Business Math	3.1	1983
Analytics	3.3	1983
Analytics	3.3	1983
Business Math	3	1983
Statistics	2.9	1983
Business Math	3	1983
Statistics	1.3	1983
Business Math	2.3	1983
Business Math	2.5	1983
Statistics	1.6	1983
Statistics	2.8	1983
Business Math	0.2	1983
Statistics	2.7	1983
Statistics	1.4	1983
Statistics	3	1983
Business Math	1.3	1983
Statistics	2.7	1983
Business Math	3.8	1983
Statistics	2.9	1983
Statistics	2.4	1983
Business Math	3.1	1983
Analytics	3.3	1983
Analytics	3.3	1983
Business Math	1.3	1983
Statistics	0.5	1983
Business Math	1.2	1983
Statistics	2.8	1983
Analytics	3.3	1983
Statistics	1.1	1983
Statistics	3	1983
Statistics	2.8	1983
Business Math	2.3	1983
Business Math	2.4	1983
Business Math	2.9	1983
Statistics	3	1983
Analytics	3.3	1983
Analytics	1.5	1983
Business Math	2.9	1983
Business Math	2.9	1983
Business Math	1.7	1983
Analytics	0.7	1983
Statistics	0.7	1983
Statistics	0.8	1983
Business Math	0.7	1983
Analytics	4	1983
Statistics	2.7	1983
Business Math	2.4	1983
Statistics	2.9	1983
Business Math	2.1	1983
Business Math	2.9	1983
Analytics	2.7	1983
Business Math	0.1	1983
Statistics	2.6	1983
Analytics	1.5	1983
Analytics	0.8	1983
Statistics	1.3	1983
Statistics	1.8	1983
Business Math	2.2	1983
Statistics	3	1983
Business Math	1.8	1983
Analytics	2.1	1983
Business Math	2.9	1983
Business Math	1.6	1983
Statistics	2.6	1983
Business Math	1.6	1983
Statistics	2.3	1983
Business Math	2.9	1983
Statistics	2.7	1983
Business Math	2.9	1983
Business Math	1.5	1983
Statistics	3.2	1983
Statistics	2.3	1983
Statistics	1.5	1983
Statistics	0.8	1983
Business Math	2.9	1983
Business Math	1.4	1983
Statistics	0.5	1983
Business Math	2.5	1983
Business Math	3	1983
Business Math	3	1983
Analytics	3.2	1983
Analytics	1.6	1983
Statistics	0.5	1983
Statistics	2.2	1983
Statistics	0.3	1983
Statistics	3.1	1983
Analytics	1.4	1983
Statistics	2.2	1983
Business Math	1.5	1983
Analytics	1.4	1983
Statistics	2.5	1983
Statistics	2.6	1983
Business Math	1.6	1983
Statistics	2.4	1983
Statistics	2.6	1983
Statistics	2.1	1983
Business Math	2.4	1983
Analytics	1.9	1983
Business Math	1.2	1983
Business Math	2.5	1983
Business Math	1.9	1983
Statistics	2.2	1983
Statistics	1.7	1983
Business Math	1.4	1983
Statistics	3.6	1983
Statistics	1.8	1983
Statistics	1.7	1983
Statistics	3.1	1983
Business Math	1.9	1983
Statistics	0.7	1983
Statistics	3.7	1983
Statistics	2.5	1983
Analytics	3.2	1983
Business Math	0.6	1983
Statistics	2	1983
Statistics	1.6	1983
Business Math	2.7	1983
Statistics	1.7	1983
Business Math	2.7	1983
Statistics	2.6	1983
Business Math	1.8	1983
Statistics	2.9	1983
Business Math	2.3	1983
Business Math	3.1	1983
Business Math	1.8	1983
Statistics	1.2	1983
Statistics	3	1983
Statistics	2.8	1983
Analytics	3.2	1983
Statistics	2.9	1983
Analytics	3.2	1983
Analytics	1.2	1983
Statistics	1.8	1983
Analytics	3.1	1983
Business Math	3.1	1983
Statistics	1	1983
Statistics	2.7	1983
Analytics	0.9	1983
Analytics	3.4	1983
Statistics	1.4	1983
Statistics	2.1	1983
Business Math	1.1	1983
Business Math	3	1983
Statistics	2.3	1983
Statistics	2.4	1983
Business Math	2.9	1983
Analytics	3.1	1983
Business Math	2.9	1983
Business Math	1.9	1983
Statistics	0.6	1983
Business Math	1.5	1983
Business Math	3.1	1983
Business Math	1.8	1983
Business Math	1.8	1983
Business Math	3	1983
Analytics	3.9	1983
Business Math	3.1	1983
Business Math	2.4	1983
Statistics	2.6	1983
Statistics	2.7	1983
Statistics	2.8	1983
Business Math	3.7	1983
Business Math	2.1	1983
Statistics	1.8	1983
Business Math	2.3	1983
Statistics	2.3	1983
Business Math	2.9	1983
Statistics	1.7	1983
Analytics	2.1	1983
Business Math	2.5	1983
Analytics	3.2	1983
Statistics	2.2	1983
Analytics	0.5	1983
Statistics	2.8	1983
Statistics	1.8	1983
Analytics	3.1	1983
Analytics	3.1	1983
Analytics	2.2	1983
Business Math	1.1	1983
Business Math	1.4	1983
Analytics	3.2	1983
Analytics	2	1983
Business Math	3.8	1983
Analytics	3.1	1983
Analytics	3.3	1983
Business Math	2.4	1983
Statistics	2.4	1983
Business Math	2.1	1983
Business Math	1.5	1983
Analytics	3.2	1983
Analytics	4	1983
Business Math	2.3	1983
Statistics	0.7	1983
Business Math	3.1	1983
Statistics	2.7	1983
Business Math	3.9	1983
Analytics	3.3	1983
Business Math	2	1983
Statistics	2.2	1983
Business Math	3.2	1983
Business Math	1.8	1983
Statistics	2.6	1983
Business Math	2.2	1983
Business Math	2	1983
Statistics	2.7	1983
Business Math	2.1	1983
Statistics	0.8	1983
Business Math	2.8	1983
Statistics	0.5	1983
Business Math	3.6	1983
Business Math	2.9	1983
Business Math	3.1	1983
Business Math	0	1983
Statistics	2.7	1983
Analytics	2.6	1983
Statistics	2.4	1983
Business Math	2.3	1983
Statistics	2.5	1983
Statistics	2.1	1983
Analytics	3.2	1983
Statistics	2.7	1983
Statistics	2.8	1983
Business Math	1.6	1983
Business Math	1	1983
Business Math	3	1983
Statistics	2.5	1983
Analytics	3.3	1983
Business Math	1.3	1983
Business Math	2.3	1983
Statistics	4	1983
Analytics	0.5	1983
Statistics	2.8	1983
Business Math	0.5	1983
Business Math	1.7	1983
Business Math	2.7	1983
Analytics	3.1	1983
Statistics	0	1983
Business Math	3.3	1983
Statistics	2.3	1983
Analytics	3.1	1983
Analytics	3.2	1983
Statistics	0.9	1983
Business Math	1	1983
Analytics	3.1	1983
Statistics	2.9	1983
Statistics	2.4	1983
Business Math	1.8	1983
Business Math	2.1	1983
Business Math	2.9	1983
Business Math	3	1983
Business Math	3.3	1983
Statistics	2.9	1983
Statistics	0.9	1983
Statistics	3.6	1983
Business Math	2.2	1983
Analytics	0.3	1983
Statistics	2.7	1983
Statistics	0.6	1983
Business Math	2.1	1983
Statistics	2.5	1983
Business Math	2.5	1983
Business Math	1.9	1983
Business Math	2.8	1983
Statistics	1.1	1983
Business Math	3.3	1983
Business Math	1.9	1983
Analytics	3.4	1983
Statistics	2.9	1983
Statistics	2.5	1983
Business Math	2.7	1983
Statistics	1.4	1983
Statistics	1.8	1983
Statistics	1.2	1983
Business Math	1.7	1983
Analytics	3.2	1983
Business Math	2.1	1983
Statistics	1.1	1983
Business Math	1.5	1983
Statistics	2.6	1983
Business Math	1.3	1983
Statistics	0.9	1983
Analytics	3.2	1983
Statistics	2.8	1983
Business Math	3.3	1983
Business Math	1.8	1983
Analytics	3.1	1983
Business Math	2	1983
Business Math	2.3	1983
Analytics	3.4	1983
Business Math	1.3	1983
Statistics	1	1983
Business Math	3	1983
Business Math	1.6	1983
Statistics	2.7	1983
Business Math	1.8	1983
Business Math	3.7	1983
Business Math	2.9	1983
Statistics	1.4	1983
Business Math	2	1983
Statistics	2.4	1983
Business Math	2	1983
Business Math	1.9	1983
Statistics	2.7	1983
Business Math	2	1983
Business Math	2.9	1983
Business Math	1.5	1983
Business Math	1.7	1983
Statistics	0.9	1983
Business Math	2.5	1983
Business Math	2.5	1983
Statistics	2.6	1983
Business Math	2.2	1983
Business Math	1.3	1983
Analytics	2.5	1983
Business Math	1.4	1983
Business Math	3	1983
Statistics	1.3	1983
Business Math	1.5	1983
Business Math	2.3	1983
Statistics	2.5	1983
Statistics	1.8	1983
Analytics	2.8	1983
Statistics	4	1983
Statistics	2.7	1983
Analytics	0.3	1983
Business Math	2.1	1983
Business Math	3.1	1983
Business Math	3.7	1983
Analytics	2.9	1983
Analytics	3.2	1983
Statistics	1.6	1983
Analytics	3.3	1983
Analytics	1	1983
Statistics	2.6	1983
Analytics	0.2	1983
Statistics	3.1	1983
Business Math	2.2	1983
Statistics	1.9	1983
Analytics	3.2	1983
Statistics	2.3	1983
Business Math	2.9	1983
Analytics	2.6	1983
Statistics	4	1983
Statistics	2.6	1983
Business Math	1	1983
Analytics	2.9	1983
Business Math	1.4	1983
Analytics	2.7	1983
Business Math	3.1	1983
Statistics	2.6	1983
Business Math	1.8	1983
Business Math	2	1983
Business Math	3.2	1983
Business Math	1.5	1983
Statistics	0.8	1983
Statistics	2.3	1983
Business Math	2.1	1983
Statistics	1.4	1983
Business Math	3	1983
Business Math	3	1983
Business Math	2.3	1983
Business Math	3.1	1983
Analytics	4	1983
Analytics	2.8	1983
Business Math	3.1	1983
Analytics	2.8	1983
Statistics	2.1	1983
Statistics	2.5	1983
Statistics	2.1	1983
Statistics	2.2	1983
Analytics	2.7	1983
Statistics	1	1983
Business Math	2.8	1983
Statistics	1	1983
Analytics	3.7	1983
Statistics	0.9	1983
Business Math	2.3	1983
Statistics	3.9	1983
Analytics	2.2	1983
Business Math	1.5	1983
Business Math	2.2	1983
Statistics	2.5	1983
Business Math	1.9	1983
Analytics	1.6	1983
Business Math	3.2	1983
Business Math	3	1983
Statistics	2.8	1983
Analytics	3.5	1983
Business Math	2.1	1983
Analytics	3.1	1983
Business Math	2.9	1983
Statistics	2.3	1983
Business Math	3.1	1983
Analytics	3.1	1983
Statistics	1.8	1983
Statistics	2.6	1983
Statistics	2.6	1983
Business Math	2.8	1983
Analytics	1.2	1983
Analytics	3.2	1983
Business Math	1.5	1983
Business Math	3.2	1983
Business Math	2.4	1983
Statistics	2	1983
Statistics	3	1983
Analytics	3	1983
Statistics	2.5	1983
Business Math	3.1	1983
Analytics	3.1	1983
Statistics	0	1983
Statistics	2.7	1983
Business Math	2.1	1983
Business Math	3.3	1983
Business Math	1.1	1983
Business Math	1.9	1983
Business Math	3	1983
Statistics	1.2	1983
Analytics	0.3	1983
Business Math	0.8	1983
Statistics	3.3	1983
Business Math	2	1983
Analytics	3.2	1983
Business Math	1.4	1983
Statistics	2.5	1983
Statistics	0.5	1983
Statistics	2.1	1983
Statistics	1.9	1983
Analytics	2.7	1983
Statistics	2.7	1983
Statistics	1	1983
Business Math	0.8	1983
Business Math	1.1	1983
Business Math	2.3	1983
Statistics	1.5	1983
Business Math	1.1	1983
Business Math	2.1	1983
Business Math	1.5	1983
Analytics	1.4	1983
Business Math	2.3	1983
Business Math	2.7	1983
Statistics	1.2	1983
Business Math	1.2	1983
Business Math	2.8	1983
Statistics	2.8	1983
Analytics	3.3	1983
Analytics	3.9	1983
Statistics	2.5	1983
Business Math	2	1983
Business Math	3	1983
Business Math	2.9	1983
Analytics	3.3	1983
Statistics	1.3	1983
Analytics	2.3	1983
Business Math	3.2	1983
Business Math	1.5	1983
Business Math	3	1984
Statistics	2	1984
Statistics	2.8	1984
Business Math	0.9	1984
Business Math	2.9	1984
Business Math	1.7	1984
Statistics	1.9	1984
Analytics	3.3	1984
Business Math	2.4	1984
Business Math	1.1	1984
Statistics	2.9	1984
Statistics	0.9	1984
Analytics	1.4	1984
Statistics	2.3	1984
Statistics	1.4	1984
Business Math	3.2	1984
Statistics	2	1984
Analytics	3.1	1984
Business Math	3.1	1984
Business Math	1.2	1984
Business Math	2.2	1984
Business Math	2.9	1984
Business Math	2.1	1984
Analytics	3.2	1984
Statistics	3.5	1984
Analytics	2.4	1984
Business Math	2	1984
Business Math	3	1984
Business Math	2.3	1984
Statistics	1.9	1984
Statistics	2.6	1984
Statistics	2.4	1984
Statistics	2.4	1984
Business Math	3.1	1984
Statistics	2.8	1984
Business Math	1.2	1984
Analytics	3	1984
Business Math	1.8	1984
Business Math	3.9	1984
Statistics	2.3	1984
Statistics	0.7	1984
Analytics	3.2	1984
Statistics	1.4	1984
Statistics	0.4	1984
Business Math	2.3	1984
Statistics	0	1984
Business Math	3.1	1984
Business Math	3.1	1984
Business Math	2.3	1984
Statistics	3.2	1984
Business Math	2.8	1984
Business Math	1.2	1984
Statistics	2.8	1984
Business Math	3	1984
Statistics	1.4	1984
Business Math	1.3	1984
Analytics	0.8	1984
Analytics	1.5	1984
Business Math	1.9	1984
Statistics	3	1984
Analytics	3.2	1984
Statistics	2.8	1984
Business Math	1.9	1984
Business Math	2.4	1984
Business Math	1.1	1984
Statistics	1.4	1984
Business Math	1.1	1984
Statistics	1.9	1984
Business Math	3.5	1984
Business Math	2.3	1984
Business Math	1.8	1984
Statistics	3.2	1984
Statistics	3	1984
Business Math	3.1	1984
Analytics	2.8	1984
Statistics	2	1984
Analytics	1.5	1984
Statistics	2.3	1984
Statistics	2.8	1984
Analytics	2.3	1984
Analytics	3.1	1984
Statistics	0.7	1984
Statistics	0.6	1984
Business Math	3	1984
Analytics	3.2	1984
Analytics	3.2	1984
Analytics	3.2	1984
Business Math	1.3	1984
Statistics	2.7	1984
Business Math	0.5	1984
Business Math	1.4	1984
Analytics	1.5	1984
Business Math	3	1984
Statistics	2.7	1984
Statistics	2.5	1984
Business Math	0.3	1984
Business Math	3	1984
Analytics	1.3	1984
Statistics	2.8	1984
Analytics	3.1	1984
Statistics	1.1	1984
Business Math	1.6	1984
Business Math	3	1984
Statistics	1.5	1984
Statistics	2.8	1984
Business Math	3	1984
Analytics	3.2	1984
Statistics	1.5	1984
Business Math	3.2	1984
Statistics	2.6	1984
Business Math	2.7	1984
Statistics	1.1	1984
Statistics	1.7	1984
Statistics	3.3	1984
Statistics	3.8	1984
Analytics	3.2	1984
Statistics	1.6	1984
Analytics	1.2	1984
Analytics	3	1984
Business Math	1.5	1984
Statistics	2.2	1984
Analytics	3.1	1984
Business Math	0.9	1984
Statistics	3.5	1984
Business Math	2.3	1984
Analytics	3.2	1984
Business Math	1.4	1984
Analytics	3	1984
Business Math	3.1	1984
Statistics	3	1984
Business Math	3.1	1984
Statistics	2.5	1984
Business Math	2.9	1984
Business Math	1.4	1984
Statistics	2.7	1984
Business Math	3.1	1984
Statistics	1.2	1984
Business Math	3.1	1984
Business Math	1.3	1984
Statistics	2	1984
Business Math	2.9	1984
Analytics	2.1	1984
Business Math	2.1	1984
Business Math	1.7	1984
Statistics	1	1984
Analytics	1.5	1984
Business Math	3	1984
Statistics	3.9	1984
Business Math	3.4	1984
Analytics	3.4	1984
Analytics	0.6	1984
Business Math	2.3	1984
Business Math	2.5	1984
Business Math	2.8	1984
Business Math	2.3	1984
Business Math	2.4	1984
Statistics	2.3	1984
Analytics	0.5	1984
Business Math	2.6	1984
Analytics	1.5	1984
Business Math	3	1984
Statistics	2.3	1984
Business Math	3.2	1984
Analytics	3.1	1984
Analytics	3.2	1984
Statistics	2.6	1984
Statistics	2.7	1984
Business Math	3	1984
Business Math	2	1984
